City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,mugia,43.1041,-9.2179,286.43,77,75,1.13,ES,1706989371
162,port saint john's,-31.6229,29.5448,296.62,86,100,4.07,ZA,1706989371
163,linxia chengguanzhen,35.6003,103.2064,267.96,88,100,0.45,CN,1706989372
164,kiunga,-6.1219,141.2906,296.46,100,100,1.21,PG,1706989372
165,sakaiminato,35.55,133.2333,278.14,87,75,6.17,JP,1706989372
166,ambon,-3.6954,128.1814,299.86,14,40,1.54,ID,1706989372
167,atafu village,-8.5421,-172.5159,302.31,75,100,8.6,TK,1706989372
168,anna regina,7.2644,-58.5077,300.2,69,9,3.88,GY,1706988847
169,wynyard,-41.0,145.7167,288.8,93,85,2.0,AU,1706989372
170,kununurra,-15.7667,128.7333,301.14,89,90,4.63,AU,1706989372
171,vicuna,-30.0319,-70.7081,291.0,35,97,4.1,CL,1706989373
172,anadyr,64.75,177.4833,252.59,76,0,5.0,RU,1706989373
173,lebu,-37.6167,-73.65,290.47,67,2,10.26,CL,1706989373
174,tvoroyri,61.5556,-6.8111,277.99,74,100,15.25,FO,1706989373
175,college,64.8569,-147.8028,235.07,64,100,0.0,US,1706989373
176,puerto ayora,-0.7393,-90.3518,306.13,79,52,5.35,EC,1706989373
177,kattivakkam,13.2167,80.3167,299.2,77,7,4.07,IN,1706989373
178,ogaminana,7.5946,6.2248,302.11,18,91,1.4,NG,1706989374
179,kerikeri,-35.2268,173.9474,287.54,92,0,2.35,NZ,1706989374
180,cam ranh,11.9214,109.1591,296.13,94,0,0.0,VN,1706989374
181,santa isabel,-23.3156,-46.2214,299.99,84,100,1.04,BR,1706989374
182,hermanus,-34.4187,19.2345,296.93,79,93,3.38,ZA,1706989374
183,lewiston orchards,46.3804,-116.9754,281.0,86,100,1.54,US,1706989374
184,badger,64.8,-147.5333,235.02,59,100,0.0,US,1706989374
185,fukuecho,32.6881,128.8419,284.94,84,100,9.06,JP,1706989375
186,port augusta,-32.5,137.7667,297.31,42,95,0.72,AU,1706989375
187,corumba,-19.0092,-57.6533,308.1,43,40,2.06,BR,1706989375
188,riverton,40.5219,-111.9391,279.85,67,100,5.66,US,1706989375
189,praia da vitoria,38.7333,-27.0667,290.24,82,20,4.93,PT,1706989375
190,mandalgovi,45.7625,106.2708,252.05,89,11,2.13,MN,1706989375
191,king city,36.2127,-121.126,284.77,58,100,2.46,US,1706989375
192,saldanha,-33.0117,17.9442,293.18,80,97,2.62,ZA,1706989078
193,vostryakovo,55.4006,37.8111,271.65,86,75,3.13,RU,1706989376
194,medicine hat,50.0501,-110.6683,279.94,70,100,3.6,CA,1706989160
195,nemuro,43.3236,145.575,268.12,70,10,6.77,JP,1706989376
196,sambava,-14.2667,50.1667,298.79,90,100,4.03,MG,1706989376
197,hirara,24.8,125.2833,293.3,100,2,0.51,JP,1706989376
198,coahuayana de hidalgo,18.7,-103.6583,302.72,43,0,3.8,MX,1706989376
199,greymouth,-42.4667,171.2,286.48,79,89,1.83,NZ,1706989110
200,usinsk,65.9939,57.5281,249.39,99,11,2.57,RU,1706989376
201,laayoune,27.1622,-13.2032,295.34,9,0,1.54,EH,1706989377
202,kodiak,57.79,-152.4072,268.88,86,100,2.06,US,1706989377
203,lazaro cardenas,17.9583,-102.2,300.13,60,0,4.57,MX,1706989377
204,arraial do cabo,-22.9661,-42.0278,303.13,78,75,5.14,BR,1706989377
205,la passe,45.5549,-0.8967,280.36,92,58,3.07,FR,1706989377
206,taltal,-25.4,-70.4833,295.45,71,27,1.97,CL,1706989377
207,kunming,25.0389,102.7183,280.11,53,0,7.0,CN,1706989377
